2024-12-13 22:15:47.029889:  [error] [127.0.0.1] File does not exist:./www\DigitalMedia/test
2024-12-13 22:18:41.212276:  [error] [127.0.0.1] File does not exist:./www/DigitalMedia/test
2024-12-13 22:37:09.982435:  [error] [127.0.0.1] PHP Parse error:  syntax error, unexpected identifier "en" in ./www\test.php on line 6
2024-12-19 08:33:14.064099:  [error] [127.0.0.1] File does not exist:./www/favicon.ico
2024-12-19 08:36:26.377745:  [error] [127.0.0.1] PHP Parse error:  syntax error, unexpected identifier "en" in ./www\test.php on line 6
2024-12-21 22:03:39.304649:  [error] [127.0.0.1] File does not exist:./www/favicon.ico
2024-12-21 22:10:25.303792:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:13:29.360356:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:13:33.964610:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:13:58.047526:  [error] [127.0.0.1] File does not exist:./www/favicon.ico
2024-12-21 22:14:03.114233:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:14:14.440951:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:14:28.745978:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:15:36.331730:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:15:54.654140:  [error] [127.0.0.1] File does not exist:./www/favicon.ico
2024-12-21 22:15:59.930090:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:16:10.617326:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:22:16.032711:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:22:20.300667:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:22:29.798221:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:23:53.689651:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:23:54.756145:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:23:54.759229:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:23:55.071737:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:24:00.404442:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:25:50.539954:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:25:51.579812:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:25:51.586813:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:25:51.897610:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:27:10.548455:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:27:11.597623:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:27:11.601622:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:27:11.916687:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:27:16.081482:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:31:37.197225:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:31:38.242511:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:31:38.246263:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:31:38.561660:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:31:41.457887:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:31:43.585138:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:34:42.414496:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:34:43.455955:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:34:43.459955:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:34:43.768267:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:34:46.156797:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:36:22.762283:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:23.807559:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:23.809562:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:24.123922:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:29.152617:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:54.032702:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:55.072770:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:55.075772:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:55.391006:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:36:58.086602:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:37:27.605597:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:37:28.653811:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:37:28.657362:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:37:28.970890:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:37:29.753242:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:37:53.890860:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:37:54.932525:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:37:54.935527:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:37:55.248805:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-21 22:37:57.033789:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:39:40.612165:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-21 22:40:17.680831:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 07:53:53.834609:  [error] [127.0.0.1] File does not exist:./www/favicon.ico
2024-12-22 07:56:49.936617:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 07:57:03.332965:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-22 07:58:50.603348:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 07:58:57.594685:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 08:00:10.508856:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 08:00:14.960103:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 08:01:00.015909:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 08:01:03.316969:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 08:01:19.317629:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 08:03:38.270128:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 08:03:46.435635:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 10:00:55.122225:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 12:04:23.746045:  [error] [127.0.0.1] Erreur dans la communication entre le serveur et le client
2024-12-22 12:04:27.692729:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
2024-12-22 14:16:44.605660:  [error] [127.0.0.1] File does not exist:./www/favicon.ico
2024-12-22 14:16:53.258470:  [error] [local] Serveur interrompu : [WinError 10038] Une opération a été tentée sur autre chose qu’un socket
